ID,DATE,DATA
128,Sat May 25 03:08:15 JST 2019,3",670
129,Sat May 25 03:07:08 JST 2019,3",670
130,Sat May 25 03:06:07 JST 2019,3",670
131,Sat May 25 03:05:02 JST 2019,3",670
132,Sat May 25 03:04:00 JST 2019,3",670
133,Sat May 25 03:03:00 JST 2019,3",670
134,Sat May 25 03:01:56 JST 2019,3",670
135,Sat May 25 03:00:55 JST 2019,3",670
136,Sat May 25 02:59:50 JST 2019,3",670
137,Sat May 25 02:58:44 JST 2019,3",670
138,Sat May 25 02:57:44 JST 2019,3",670
139,Sat May 25 02:56:39 JST 2019,3",670
140,Sat May 25 02:55:36 JST 2019,3",670
141,Sat May 25 02:54:31 JST 2019,3",670
142,Sat May 25 02:53:29 JST 2019,3",670
143,Sat May 25 02:52:23 JST 2019,3",670
144,Sat May 25 02:51:23 JST 2019,3",670
145,Sat May 25 02:50:16 JST 2019,3",670
146,Sat May 25 02:49:15 JST 2019,3",670
147,Sat May 25 02:48:14 JST 2019,3",670
148,Sat May 25 02:47:12 JST 2019,3",670
149,Sat May 25 02:46:07 JST 2019,3",670
150,Sat May 25 02:45:06 JST 2019,3",670
151,Sat May 25 02:44:00 JST 2019,3",670
152,Sat May 25 02:42:58 JST 2019,3",670
153,Sat May 25 02:41:56 JST 2019,3",670
154,Sat May 25 02:40:56 JST 2019,3",670
155,Sat May 25 02:39:51 JST 2019,3",670
156,Sat May 25 02:38:48 JST 2019,3",670
157,Sat May 25 02:37:48 JST 2019,3",670
158,Sat May 25 02:36:46 JST 2019,3",670
159,Sat May 25 02:35:41 JST 2019,3",670
160,Sat May 25 02:34:39 JST 2019,3",670
161,Sat May 25 02:33:39 JST 2019,3",670
162,Sat May 25 02:32:36 JST 2019,3",670
163,Sat May 25 02:31:36 JST 2019,3",670
164,Sat May 25 02:30:34 JST 2019,3",670
165,Sat May 25 02:29:34 JST 2019,3",670
166,Sat May 25 02:28:27 JST 2019,3",670
167,Sat May 25 02:27:26 JST 2019,3",670
168,Sat May 25 02:26:24 JST 2019,3",670
169,Sat May 25 02:25:24 JST 2019,3",670
170,Sat May 25 02:24:23 JST 2019,3",670
171,Sat May 25 02:23:18 JST 2019,3",670
172,Sat May 25 02:22:18 JST 2019,3",670
173,Sat May 25 02:21:16 JST 2019,3",670
174,Sat May 25 02:20:11 JST 2019,3",670
175,Sat May 25 02:19:09 JST 2019,3",670
176,Sat May 25 02:18:04 JST 2019,3",670
177,Sat May 25 02:17:03 JST 2019,3",670
178,Sat May 25 02:15:57 JST 2019,3",670
179,Sat May 25 02:14:56 JST 2019,3",670
180,Sat May 25 02:13:54 JST 2019,3",670
181,Sat May 25 02:12:52 JST 2019,3",670
182,Sat May 25 02:11:52 JST 2019,3",670
183,Sat May 25 02:10:50 JST 2019,3",670
184,Sat May 25 02:09:45 JST 2019,3",670
185,Sat May 25 02:08:43 JST 2019,3",670
186,Sat May 25 02:07:42 JST 2019,3",670
187,Sat May 25 02:06:41 JST 2019,3",670
188,Sat May 25 02:05:36 JST 2019,3",670
189,Sat May 25 02:04:33 JST 2019,3",670
190,Sat May 25 02:03:28 JST 2019,3",670
191,Sat May 25 02:02:26 JST 2019,3",670
192,Sat May 25 02:01:21 JST 2019,3",670
193,Sat May 25 02:00:19 JST 2019,3",670
194,Sat May 25 01:59:13 JST 2019,3",670
195,Sat May 25 01:58:11 JST 2019,3",670
196,Sat May 25 01:57:07 JST 2019,3",670
197,Sat May 25 01:56:04 JST 2019,3",670
198,Sat May 25 01:54:59 JST 2019,3",670
199,Sat May 25 01:53:57 JST 2019,3",670
200,Sat May 25 01:52:51 JST 2019,3",670
201,Sat May 25 01:51:49 JST 2019,3",670
202,Sat May 25 01:50:45 JST 2019,3",670
203,Sat May 25 01:49:42 JST 2019,3",670
204,Sat May 25 01:48:37 JST 2019,3",670
205,Sat May 25 01:47:35 JST 2019,3",670
206,Sat May 25 01:46:29 JST 2019,3",670
207,Sat May 25 01:45:27 JST 2019,3",670
208,Sat May 25 01:44:23 JST 2019,3",670
209,Sat May 25 01:43:20 JST 2019,3",670
210,Sat May 25 01:42:20 JST 2019,3",670
211,Sat May 25 01:41:19 JST 2019,3",670
212,Sat May 25 01:40:13 JST 2019,3",670
213,Sat May 25 01:39:12 JST 2019,3",670
214,Sat May 25 01:38:12 JST 2019,3",670
215,Sat May 25 01:37:07 JST 2019,3",670
216,Sat May 25 01:36:05 JST 2019,3",670
217,Sat May 25 01:35:00 JST 2019,3",670
218,Sat May 25 01:33:58 JST 2019,3",670
219,Sat May 25 01:32:58 JST 2019,3",670
220,Sat May 25 01:31:56 JST 2019,3",670
221,Sat May 25 01:30:51 JST 2019,3",670
222,Sat May 25 01:29:49 JST 2019,3",670
223,Sat May 25 01:28:48 JST 2019,3",670
224,Sat May 25 01:27:46 JST 2019,3",670
225,Sat May 25 01:26:41 JST 2019,3",670
226,Sat May 25 01:25:40 JST 2019,3",670
227,Sat May 25 01:24:39 JST 2019,3",670
228,Sat May 25 01:23:34 JST 2019,3",670
229,Sat May 25 01:22:34 JST 2019,3",670
230,Sat May 25 01:21:33 JST 2019,3",670
231,Sat May 25 01:20:30 JST 2019,3",670
232,Sat May 25 01:19:30 JST 2019,3",670
233,Sat May 25 01:18:29 JST 2019,3",670
234,Sat May 25 01:17:23 JST 2019,3",670
235,Sat May 25 01:16:21 JST 2019,3",670
236,Sat May 25 01:15:21 JST 2019,3",670
237,Sat May 25 01:14:19 JST 2019,3",670
238,Sat May 25 01:13:14 JST 2019,3",670
239,Sat May 25 01:12:11 JST 2019,3",670
240,Sat May 25 01:11:06 JST 2019,3",670
241,Sat May 25 01:10:04 JST 2019,3",670
242,Sat May 25 01:08:58 JST 2019,3",670
243,Sat May 25 01:07:57 JST 2019,3",670
244,Sat May 25 01:06:56 JST 2019,3",670
245,Sat May 25 01:05:53 JST 2019,3",670
246,Sat May 25 01:04:53 JST 2019,3",670
247,Sat May 25 01:03:52 JST 2019,3",670
248,Sat May 25 01:02:46 JST 2019,3",670
249,Sat May 25 01:01:45 JST 2019,3",670
250,Sat May 25 01:00:44 JST 2019,3",670
251,Sat May 25 00:59:41 JST 2019,3",670
252,Sat May 25 00:58:37 JST 2019,3",670
253,Sat May 25 00:57:35 JST 2019,3",670
254,Sat May 25 00:56:30 JST 2019,3",670
255,Sat May 25 00:55:28 JST 2019,3",670
256,Sat May 25 00:54:27 JST 2019,3",670
257,Sat May 25 00:53:27 JST 2019,3",670
258,Sat May 25 00:52:21 JST 2019,3",670
259,Sat May 25 00:51:20 JST 2019,3",670
260,Sat May 25 00:50:20 JST 2019,3",670
261,Sat May 25 00:49:20 JST 2019,3",670
262,Sat May 25 00:48:20 JST 2019,3",670
263,Sat May 25 00:47:19 JST 2019,3",670
264,Sat May 25 00:46:14 JST 2019,3",670
265,Sat May 25 00:45:12 JST 2019,3",670
266,Sat May 25 00:44:10 JST 2019,3",670
267,Sat May 25 00:43:09 JST 2019,3",670
268,Sat May 25 00:42:08 JST 2019,3",670
269,Sat May 25 00:41:06 JST 2019,3",670
270,Sat May 25 00:40:06 JST 2019,3",670
271,Sat May 25 00:39:00 JST 2019,3",670
272,Sat May 25 00:38:00 JST 2019,3",670
273,Sat May 25 00:36:59 JST 2019,3",670
274,Sat May 25 00:35:54 JST 2019,3",670
275,Sat May 25 00:34:54 JST 2019,3",670
276,Sat May 25 00:33:52 JST 2019,3",670
277,Sat May 25 00:32:47 JST 2019,3",670
278,Sat May 25 00:31:45 JST 2019,3",670
279,Sat May 25 00:30:39 JST 2019,3",670
280,Sat May 25 00:29:38 JST 2019,3",670
281,Sat May 25 00:28:33 JST 2019,3",670
282,Sat May 25 00:27:31 JST 2019,3",670
283,Sat May 25 00:26:25 JST 2019,3",670
284,Sat May 25 00:25:23 JST 2019,3",670
285,Sat May 25 00:24:21 JST 2019,3",670
286,Sat May 25 00:23:17 JST 2019,3",670
287,Sat May 25 00:22:12 JST 2019,3",670
288,Sat May 25 00:21:05 JST 2019,3",670
289,Sat May 25 00:20:04 JST 2019,3",670
290,Sat May 25 00:18:59 JST 2019,3",670
291,Sat May 25 00:17:57 JST 2019,3",670
292,Sat May 25 00:16:52 JST 2019,3",670
293,Sat May 25 00:15:51 JST 2019,3",670
294,Sat May 25 00:14:45 JST 2019,3",670
295,Sat May 25 00:13:44 JST 2019,3",670
296,Sat May 25 00:12:40 JST 2019,3",670
297,Sat May 25 00:11:39 JST 2019,3",670
298,Sat May 25 00:10:37 JST 2019,3",670
299,Sat May 25 00:09:37 JST 2019,3",670
300,Sat May 25 00:08:35 JST 2019,3",670
301,Sat May 25 00:07:30 JST 2019,3",670
302,Sat May 25 00:06:29 JST 2019,3",670
303,Sat May 25 00:05:23 JST 2019,3",670
304,Sat May 25 00:04:21 JST 2019,3",670
305,Sat May 25 00:03:21 JST 2019,3",670
306,Sat May 25 00:02:18 JST 2019,3",670
307,Sat May 25 00:01:18 JST 2019,3",670
308,Sat May 25 00:00:17 JST 2019,3",670
309,Fri May 24 23:59:17 JST 2019,3",670
310,Fri May 24 23:58:17 JST 2019,3",670
311,Fri May 24 23:57:16 JST 2019,3",670
312,Fri May 24 23:56:16 JST 2019,3",670
313,Fri May 24 23:55:16 JST 2019,3",670
314,Fri May 24 23:54:11 JST 2019,3",670
315,Fri May 24 23:53:10 JST 2019,3",670
316,Fri May 24 23:52:10 JST 2019,3",670
317,Fri May 24 23:51:09 JST 2019,3",670
318,Fri May 24 23:50:04 JST 2019,3",670
319,Fri May 24 23:48:59 JST 2019,3",670
320,Fri May 24 23:47:58 JST 2019,3",670
321,Fri May 24 23:46:53 JST 2019,3",670
322,Fri May 24 23:45:48 JST 2019,3",670
323,Fri May 24 23:44:47 JST 2019,3",670
324,Fri May 24 23:43:47 JST 2019,3",670
325,Fri May 24 23:42:42 JST 2019,3",670
326,Fri May 24 23:41:41 JST 2019,3",670
327,Fri May 24 23:40:36 JST 2019,3",670
328,Fri May 24 23:39:31 JST 2019,3",670
329,Fri May 24 23:38:29 JST 2019,3",670
330,Fri May 24 23:37:29 JST 2019,3",670
331,Fri May 24 23:36:25 JST 2019,3",670
332,Fri May 24 23:35:24 JST 2019,3",670
333,Fri May 24 23:34:24 JST 2019,3",670
334,Fri May 24 23:33:24 JST 2019,3",670
335,Fri May 24 23:32:23 JST 2019,3",670
336,Fri May 24 23:31:18 JST 2019,3",670
337,Fri May 24 23:30:18 JST 2019,3",670
338,Fri May 24 23:29:16 JST 2019,3",670
339,Mon May 20 11:44:00 JST 2019,4",125
