ID,DATE,DATA
176,Sat May 25 02:04:38 JST 2019,21",117.22
177,Sat May 25 02:03:33 JST 2019,21",117.22
178,Sat May 25 02:02:33 JST 2019,21",117.22
179,Sat May 25 02:01:26 JST 2019,21",117.22
180,Sat May 25 02:00:25 JST 2019,21",117.22
181,Sat May 25 01:59:18 JST 2019,21",117.22
182,Sat May 25 01:58:17 JST 2019,21",117.22
183,Sat May 25 01:57:12 JST 2019,21",117.22
184,Sat May 25 01:56:09 JST 2019,21",117.22
185,Sat May 25 01:55:04 JST 2019,21",117.22
186,Sat May 25 01:54:03 JST 2019,21",117.22
187,Sat May 25 01:52:56 JST 2019,21",117.22
188,Sat May 25 01:51:55 JST 2019,21",117.22
189,Sat May 25 01:50:50 JST 2019,21",117.22
190,Sat May 25 01:49:47 JST 2019,21",117.22
191,Sat May 25 01:48:42 JST 2019,21",117.22
192,Sat May 25 01:47:41 JST 2019,21",117.22
193,Sat May 25 01:46:34 JST 2019,21",117.22
194,Sat May 25 01:45:33 JST 2019,21",117.22
195,Sat May 25 01:44:28 JST 2019,21",117.22
196,Sat May 25 01:43:27 JST 2019,21",117.22
197,Sat May 25 01:42:25 JST 2019,21",117.22
198,Sat May 25 01:41:24 JST 2019,21",117.22
199,Sat May 25 01:40:19 JST 2019,21",117.22
200,Sat May 25 01:39:17 JST 2019,21",117.22
201,Sat May 25 01:38:17 JST 2019,21",117.22
202,Sat May 25 01:37:12 JST 2019,21",117.22
203,Sat May 25 01:36:11 JST 2019,21",117.22
204,Sat May 25 01:35:05 JST 2019,21",117.22
205,Sat May 25 01:34:04 JST 2019,21",117.22
206,Sat May 25 01:33:03 JST 2019,21",117.22
207,Sat May 25 01:32:01 JST 2019,21",117.22
208,Sat May 25 01:30:56 JST 2019,21",117.22
209,Sat May 25 01:29:54 JST 2019,21",117.22
210,Sat May 25 01:28:53 JST 2019,21",117.22
211,Sat May 25 01:27:52 JST 2019,21",117.22
212,Sat May 25 01:26:46 JST 2019,21",117.22
213,Sat May 25 01:25:45 JST 2019,21",117.22
214,Sat May 25 01:24:45 JST 2019,21",117.22
215,Sat May 25 01:23:44 JST 2019,21",117.22
216,Sat May 25 01:22:44 JST 2019,21",117.22
217,Sat May 25 01:21:43 JST 2019,21",117.22
218,Sat May 25 01:20:41 JST 2019,21",117.22
219,Sat May 25 01:19:36 JST 2019,21",117.22
220,Sat May 25 01:18:34 JST 2019,21",117.22
221,Sat May 25 01:17:28 JST 2019,21",117.22
222,Sat May 25 01:16:27 JST 2019,21",117.22
223,Sat May 25 01:15:26 JST 2019,21",117.22
224,Sat May 25 01:14:24 JST 2019,21",117.22
225,Sat May 25 01:13:19 JST 2019,21",117.22
226,Sat May 25 01:12:16 JST 2019,21",117.22
227,Sat May 25 01:11:11 JST 2019,21",117.22
228,Sat May 25 01:10:10 JST 2019,21",117.22
229,Sat May 25 01:09:04 JST 2019,21",117.22
230,Sat May 25 01:08:02 JST 2019,21",117.22
231,Sat May 25 01:07:01 JST 2019,21",117.22
232,Sat May 25 01:05:59 JST 2019,21",117.22
233,Sat May 25 01:04:58 JST 2019,21",117.22
234,Sat May 25 01:03:57 JST 2019,21",117.22
235,Sat May 25 01:02:52 JST 2019,21",117.22
